germline	S45871	0.0
S45871	S23481	3.0
S23481	S25547	4.0
S25547	S26520	4.0
S26520	S861	4.0
S25547	S44460	4.0
S25547	S23772	4.0
S25547	S26602	4.0
S25547	S26055	4.0
S25547	S29166	4.0
S26602	S27686	4.0
S23481	S28733	4.0
S44460	S23556	4.0
S44460	S48060	4.0
S23481	S39807	4.0
S23481	S25607	5.0
S44460	S29121	5.0
S23481	S32954	5.0
S25547	S9132	6.0
S25547	S26670	6.0
S44460	S24758	6.0
S23772	S46445	6.0
S29166	S26504	6.0
S23772	S33000	7.0
S26055	S24851	7.0
S23481	S26525	8.0
S27686	S30741	8.0
S26602	S22744	9.0
S27686	S28379	10.0
S26055	S49638	13.0
